技能,數量
MS SQL,12
ASP.NET,10
JavaScript,10
jQuery,8
HTML,8
PHP,7
C#,7
MySQL,7
AJAX,4
Java,4
JSP,3
Visual C#,3
XML,2
Visual Basic .net,2
Linux,2
Tomcat,2
Toad,1
Web Master/Developer,1
C,1
J2SE,1
J2EE,1
C++,1
WebSphere,1
Delphi,1
Sybase,1
Oracle,1
Perl,1
Access,1
JDBC,1
ASP,1
Struts,1
Spring,1
JSF,1
DB2,1
