技能,數量
java,448
php,412
javascript,341
linux,329
python,228
mysql,210
css,207
jquery,174
html,143
asp.net,134
ajax,63
oracle,57
mongodb,56
unity,51
xml,48
swift,36
flash,33
http,32
perl,30
access,27
hibernate,24
flex,22
asp,21
oop,19
c#.net,17
vb.net,13
uml,12
jsp,12
dreamweaver,8
actionscript,8
mcu,8
assembly,8
mfc,7
tomcat,7
struts,6
dhtml,5
matlab,5
delphi,4
bcb,3
obj-c,3
vba,3
cgi,2
spss,2
powerbuilder,2
fireworks,1
frontpage,1
db2,1
c／c++,1
servlets,1
r語言,1
